ANIMAL_ID,AGE,FEED_INTAKE,WEIGHT_NA,WEIGHT,CFI
5070,69,1.916,25,25,1.916
5070,70,1.947,NA,,3.863
5070,71,1.337,NA,,5.2
5070,72,2.696,NA,,7.896
5070,73,1.945,NA,,9.841
5070,74,2.592,NA,,12.433
5070,75,2.56,NA,,14.993
5070,76,3.223,29,29,18.216
5070,77,2.499,NA,,20.715
5070,78,3.411,NA,,24.126
5070,79,2.283,NA,,26.409
5070,80,3.635,NA,,30.044
5070,81,3.123,NA,,33.167
5070,82,2.93,NA,,36.097
5070,83,2.431,32,32,38.528
5070,84,2.342,NA,,40.87
5070,85,2.566,NA,,43.436
5070,86,1.423,NA,,44.859
5070,87,3.997,NA,,48.856
5070,88,2.213,NA,,51.069
5070,89,2.678,NA,,53.747
5070,90,3.344,38,38,57.091
5070,91,2.758,NA,,59.849
5070,92,2.024,NA,,61.873
5070,93,3.994,NA,,65.867
5070,94,3.956,NA,,69.823
5070,95,2.82,NA,,72.643
5070,96,2.373,NA,,75.016
5070,97,2.868,NA,,77.884
5070,98,3.507,NA,,81.391
5070,99,3.053,NA,,84.444
5070,100,2.166,NA,,86.61
5070,101,2.894,NA,,89.504
5070,102,1.94,NA,,91.444
5070,103,2.688,NA,,94.132
5070,104,4.628,43,43,98.76
5070,105,3.117,NA,,101.877
5070,106,2.245,NA,,104.122
5070,107,2.16,NA,,106.282
5070,108,3.405,NA,,109.687
5070,109,2.85,NA,,112.537
5070,110,2.427,NA,,114.964
5070,111,2.629,46,46,117.593
5070,112,2.417,NA,,120.01
5070,113,2.313,NA,,122.323
5070,114,3.591,NA,,125.914
5070,115,2.744,NA,,128.658
5070,116,2.225,NA,,130.883
5070,117,2.381,NA,,133.264
5070,118,1.587,48,48,134.851
5070,119,1.339,NA,,136.19
5070,120,1.525,NA,,137.715
5070,121,1.772,NA,,139.487
5070,122,2.102,NA,,141.589
5070,123,2.146,NA,,143.735
5070,124,1.24,NA,,144.975
5070,125,2.683,54,54,147.658
5070,126,1.543,NA,,149.201
5070,127,2.327,NA,,151.528
5070,128,1.866,NA,,153.394
5070,129,1.219,NA,,154.613
5070,130,2.263,NA,,156.876
5070,131,1.876,NA,,158.752
5070,132,2.149,NA,,160.901
5070,133,2.348,62,62,163.249
5070,134,2.182,NA,,165.431
5070,135,2.194,NA,,167.625
5070,136,2.747,NA,,170.372
5070,137,1.583,NA,,171.955
5070,138,1.943,NA,,173.898
5070,139,2.661,NA,,176.559
5070,140,2.535,68,68,179.094
5070,141,1.383,NA,,180.477
5070,142,2.541,NA,,183.018
5070,143,1.084,NA,,184.102
5070,144,2.478,NA,,186.58
5070,145,2.012,NA,,188.592
5070,146,1.632,72,72,190.224
5070,147,2.106,NA,,192.33
5070,148,0.892,NA,,193.222
5070,149,2.528,NA,,195.75
5070,150,1.769,NA,,197.519
5070,151,1.918,NA,,199.437
5070,152,1.739,NA,,201.176
5070,153,2.086,78,78,203.262
5070,154,1.254,NA,,204.516
5070,155,2.123,NA,,206.639
5070,156,2.791,NA,,209.43
5070,157,1.606,NA,,211.036
5070,158,3.127,NA,,214.163
5070,159,2.916,NA,,217.079
5070,160,2.758,86,86,219.837
5070,161,2.07,NA,,221.907
5070,162,2.619,NA,,224.526
5070,163,3.03,NA,,227.556
5070,164,3.557,NA,,231.113
5070,165,2.349,NA,,233.462
5070,166,3.37,NA,,236.832
5070,167,2.728,93,93,239.56
5070,168,2.566,NA,,242.126
5070,169,2.795,NA,,244.921
5070,170,2.597,NA,,247.518
5070,171,2.881,NA,,250.399
5070,172,3.383,NA,,253.782
5070,173,2.506,NA,,256.288
5070,174,2.932,101,101,259.22
5070,175,2.431,NA,,261.651
5070,176,2.363,NA,,264.014
5070,177,2.117,NA,,266.131
5070,178,3.985,NA,,270.116
5070,180,1.424,NA,,271.54
5070,181,2.658,103,103,274.198
5070,182,3.11,NA,,277.308
5070,183,2.604,NA,,279.912
5070,184,1.696,NA,,281.608
5071,69,2.483,22,22,2.483
5071,70,2.35,NA,,4.833
5071,71,2.504,NA,,7.337
5071,72,2.218,NA,,9.555
5071,73,1.983,NA,,11.538
5071,74,2.53,NA,,14.068
5071,75,1.485,NA,,15.553
5071,76,2.177,25,25,17.73
5071,77,2.393,NA,,20.123
5071,78,3.045,NA,,23.168
5071,79,2.721,NA,,25.889
5071,80,2.61,NA,,28.499
5071,81,3.427,NA,,31.926
5071,82,1.888,NA,,33.814
5071,83,2.016,30,30,35.83
5071,84,2.871,NA,,38.701
5071,85,2.362,NA,,41.063
5071,86,3.137,NA,,44.2
5071,87,2.944,NA,,47.144
5071,88,3.153,NA,,50.297
5071,89,2.425,NA,,52.722
5071,90,3.253,35,35,55.975
5071,91,3.186,NA,,59.161
5071,92,2.21,NA,,61.371
5071,93,3.014,NA,,64.385
5071,94,3.433,NA,,67.818
5071,95,2.175,NA,,69.993
5071,96,2.625,NA,,72.618
5071,97,2.358,40,40,74.976
5071,98,2.815,NA,,77.791
5071,99,3.513,NA,,81.304
5071,100,2.33,NA,,83.634
5071,101,2.888,NA,,86.522
5071,102,3.148,NA,,89.67
5071,103,2.509,NA,,92.179
5071,104,3.006,45,45,95.185
5071,105,2.359,NA,,97.544
5071,106,2.505,NA,,100.049
5071,107,2.727,NA,,102.776
5071,108,3.15,NA,,105.926
5071,109,2.123,NA,,108.049
5071,110,3.612,NA,,111.661
5071,111,2.871,48,48,114.532
5071,112,2.894,NA,,117.426
5071,113,2.636,NA,,120.062
5071,114,3.781,NA,,123.843
5071,115,2.989,NA,,126.832
5071,116,3.478,NA,,130.31
5071,117,2.864,NA,,133.174
5071,118,1.494,53,53,134.668
5071,119,1.703,NA,,136.371
5071,120,1.974,NA,,138.345
5071,121,2.969,NA,,141.314
5071,122,1.75,NA,,143.064
5071,123,1.504,NA,,144.568
5071,124,2.265,NA,,146.833
5071,125,1.803,59,59,148.636
5071,126,2.671,NA,,151.307
5071,127,2.305,NA,,153.612
5071,128,1.603,NA,,155.215
5071,129,1.626,NA,,156.841
5071,130,2.523,NA,,159.364
5071,131,1.831,NA,,161.195
5071,132,1.724,NA,,162.919
5071,133,1.677,65,65,164.596
5071,134,2.242,NA,,166.838
5071,135,2.419,NA,,169.257
5071,136,1.658,NA,,170.915
5071,137,2.449,NA,,173.364
5071,138,1.7,NA,,175.064
5071,139,2.418,NA,,177.482
5071,140,2.59,73,73,180.072
5071,141,2.251,NA,,182.323
5071,142,1.77,NA,,184.093
5071,143,2.16,NA,,186.253
5071,144,1.904,NA,,188.157
5071,145,1.541,NA,,189.698
