"","ANIMAL_ID","AGE","FEED_INTAKE","WEIGHT_NA","WEIGHT","CFI"
"1","5070",69,1.916,25,25,1.916
"2","5070",70,1.947,NA,NA,3.863
"3","5070",71,1.337,NA,NA,5.2
"4","5070",72,2.696,NA,NA,7.896
"5","5070",73,1.945,NA,NA,9.841
"6","5070",74,2.592,NA,NA,12.433
"7","5070",75,2.56,NA,NA,14.993
"8","5070",76,3.223,29,29,18.216
"9","5070",77,2.499,NA,NA,20.715
"10","5070",78,3.411,NA,NA,24.126
"11","5070",79,2.283,NA,NA,26.409
"12","5070",80,3.635,NA,NA,30.044
"13","5070",81,3.123,NA,NA,33.167
"14","5070",82,2.93,NA,NA,36.097
"15","5070",83,2.431,32,32,38.528
"16","5070",84,2.342,NA,NA,40.87
"17","5070",85,2.566,NA,NA,43.436
"18","5070",86,1.423,NA,NA,44.859
"19","5070",87,3.997,NA,NA,48.856
"20","5070",88,2.213,NA,NA,51.069
"21","5070",89,2.678,NA,NA,53.747
"22","5070",90,3.344,38,38,57.091
"23","5070",91,2.758,NA,NA,59.849
"24","5070",92,2.024,NA,NA,61.873
"25","5070",93,3.994,NA,NA,65.867
"26","5070",94,3.956,NA,NA,69.823
"27","5070",95,2.82,NA,NA,72.643
"28","5070",96,2.373,NA,NA,75.016
"29","5070",97,2.868,NA,NA,77.884
"30","5070",98,3.507,NA,NA,81.391
"31","5070",99,3.053,NA,NA,84.444
"32","5070",100,2.166,NA,NA,86.61
"33","5070",101,2.894,NA,NA,89.504
"34","5070",102,1.94,NA,NA,91.444
"35","5070",103,2.688,NA,NA,94.132
"36","5070",104,4.628,43,43,98.76
"37","5070",105,3.117,NA,NA,101.877
"38","5070",106,2.245,NA,NA,104.122
"39","5070",107,2.16,NA,NA,106.282
"40","5070",108,3.405,NA,NA,109.687
"41","5070",109,2.85,NA,NA,112.537
"42","5070",110,2.427,NA,NA,114.964
"43","5070",111,2.629,46,46,117.593
"44","5070",112,2.417,NA,NA,120.01
"45","5070",113,2.313,NA,NA,122.323
"46","5070",114,3.591,NA,NA,125.914
"47","5070",115,2.744,NA,NA,128.658
"48","5070",116,2.225,NA,NA,130.883
"49","5070",117,2.381,NA,NA,133.264
"50","5070",118,1.587,48,48,134.851
"51","5070",119,1.339,NA,NA,136.19
"52","5070",120,1.525,NA,NA,137.715
"53","5070",121,1.772,NA,NA,139.487
"54","5070",122,2.102,NA,NA,141.589
"55","5070",123,2.146,NA,NA,143.735
"56","5070",124,1.24,NA,NA,144.975
"57","5070",125,2.683,54,54,147.658
"58","5070",126,1.543,NA,NA,149.201
"59","5070",127,2.327,NA,NA,151.528
"60","5070",128,1.866,NA,NA,153.394
"61","5070",129,1.219,NA,NA,154.613
"62","5070",130,2.263,NA,NA,156.876
"63","5070",131,1.876,NA,NA,158.752
"64","5070",132,2.149,NA,NA,160.901
"65","5070",133,2.348,62,62,163.249
"66","5070",134,2.182,NA,NA,165.431
"67","5070",135,2.194,NA,NA,167.625
"68","5070",136,2.747,NA,NA,170.372
"69","5070",137,1.583,NA,NA,171.955
"70","5070",138,1.943,NA,NA,173.898
"71","5070",139,2.661,NA,NA,176.559
"72","5070",140,2.535,68,68,179.094
"73","5070",141,1.383,NA,NA,180.477
"74","5070",142,2.541,NA,NA,183.018
"75","5070",143,1.084,NA,NA,184.102
"76","5070",144,2.478,NA,NA,186.58
"77","5070",145,2.012,NA,NA,188.592
"78","5070",146,1.632,72,72,190.224
"79","5070",147,2.106,NA,NA,192.33
"80","5070",148,0.892,NA,NA,193.222
"81","5070",149,2.528,NA,NA,195.75
"82","5070",150,1.769,NA,NA,197.519
"83","5070",151,1.918,NA,NA,199.437
"84","5070",152,1.739,NA,NA,201.176
"85","5070",153,2.086,78,78,203.262
