"";"ANIMAL_ID";"ppert";"Start";"value.start";"End";"value.end";"days_of_pert";"Min.Day";"Min.perc"
"1";1;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"2";1;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"3";2;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"4";2;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"5";3;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"6";3;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"7";4;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"8";4;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"9";5;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"10";5;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"11";6;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"12";6;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"13";7;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"14";7;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"15";8;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"16";8;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"17";9;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"18";9;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"19";10;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"20";10;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"21";11;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"22";11;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"23";12;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"24";12;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"25";13;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"26";13;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"27";14;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"28";14;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"29";15;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"30";15;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"31";16;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"32";16;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"33";17;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"34";17;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"35";18;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"36";18;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"37";19;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"38";19;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"39";20;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"40";20;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"41";21;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"42";21;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"43";22;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"44";22;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"45";23;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"46";23;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"47";24;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"48";24;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"49";25;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"50";25;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"51";26;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"52";26;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"53";27;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"54";27;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"55";28;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"56";28;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"57";29;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"58";29;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"59";30;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"60";30;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"61";31;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"62";31;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"63";32;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"64";32;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"65";33;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"66";33;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"67";34;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"68";34;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"69";35;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"70";35;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"71";36;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"72";36;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"73";37;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"74";37;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"75";38;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"76";38;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"77";39;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"78";39;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"79";40;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"80";40;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"81";41;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"82";41;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"83";42;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"84";42;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"85";43;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"86";43;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"87";44;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"88";44;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"89";45;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"90";45;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"91";46;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"92";46;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"93";47;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"94";47;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"95";48;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"96";48;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"97";49;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"98";49;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
